종목명,업종명,시가총액
STX그린로지스,운송·창고,"48,978,148,560"
이건산업,종이·목재,"48,958,278,450"
고려제강,금속,"479,790,000,000"
코오롱모빌리티그룹,유통,"478,990,417,500"
코리아써키트,전기·전자,"477,139,170,200"
맵스리얼티,기타금융,"475,311,774,720"
두산2우B,기타금융,"471,524,064,000"
엑시큐어하이트론,전기·전자,"47,388,007,400"
세아홀딩스,금속,"468,400,000,000"
동아에스티,제약,"461,085,398,500"
태영건설,건설,"460,030,436,126"
영화금속,운송장비·부품,"46,498,054,500"
일진디스플,전기·전자,"46,465,394,382"
기아,운송장비·부품,"46,348,997,079,000"
시디즈,기타제조,"46,200,000,000"
에쓰씨엔지니어링,건설,"46,175,673,650"
유화증권우,증권,"46,050,379,875"
플레이그램,유통,"46,021,912,500"
아세아시멘트,비금속,"453,016,320,100"
SK하이닉스,전기·전자,"451,361,466,300,000"
유니드,화학,"450,722,160,000"
마스턴프리미어리츠,부동산,"45,696,949,886"
케이탑리츠,부동산,"45,657,735,300"
형지엘리트,섬유·의류,"45,569,237,433"
KB금융,기타금융,"45,012,528,154,000"
제주항공,운송·창고,"448,363,876,600"
SPC삼립,음식료·담배,"441,805,260,800"
DYP,운송장비·부품,"44,838,606,300"
DL이앤씨우,건설,"44,391,585,000"
한화투자증권우,증권,"44,160,000,000"
아모레퍼시픽우,화학,"439,733,619,500"
신도리코,전기·전자,"436,465,255,700"
YG PLUS,IT 서비스,"435,455,672,400"
조광피혁,섬유·의류,"432,858,883,800"
메타랩스,섬유·의류,"43,807,347,951"
진양폴리,화학,"43,400,000,000"
NAVER,IT 서비스,"43,056,049,131,000"
농심홀딩스,기타금융,"425,749,122,000"
스틱인베스트먼트,기타금융,"425,117,385,000"
코람코라이프인프라리츠,부동산,"423,895,466,670"
DL우,화학,"42,827,321,000"
부국철강,금속,"42,700,000,000"
문배철강,금속,"42,647,290,400"
한화오션,운송장비·부품,"42,530,179,087,200"
KR모터스,운송장비·부품,"42,151,089,792"
DB증권,증권,"418,945,859,430"
동국제강,금속,"418,691,663,480"
한세실업,섬유·의류,"416,000,000,000"
신성이엔지,전기·전자,"414,784,024,265"
삼성FN리츠,부동산,"412,001,250,000"
씨티알모빌리티,운송장비·부품,"41,500,200,000"
대림통상,금속,"41,259,750,000"
금호전기,전기·전자,"41,241,177,990"
흥아해운,운송·창고,"408,241,478,502"
KCC글라스,비금속,"407,248,056,000"
KB스타리츠,부동산,"404,135,925,725"
한전산업,일반서비스,"400,002,000,000"
